case_number,source_file_key,docket_numbers,citation,citation_year,citation_seq,case_name,pdf_url,date_argued,date_issued,days_to_decision,term_year,lower_court,lower_court_type,lower_court_judge,case_type,appeal_type,outcome,author,author_display,majority,dissent,concur_separate,not_participating,vote_string,is_unanimous,has_dissent,has_separate_concurrence,topics,rsa_citations,rsa_primary,involves_statutory_interpretation,standard_of_review,summary_paragraph,word_count,opinion_type,parse_version,parse_timestamp,parse_confidence
2017-0073,2017-0073,['2017-0073'],,,,State of New Hampshire v. Alan A. Kenison,https://www.courts.nh.gov/sites/g/files/ehbemt471/files/documents/2021-09/20170073.pdf,,2018-09-17,,2018,"Superior Court (Bornstein, J.)",superior_court,Bornstein,criminal,standard,,per_curiam,Per Curiam,0,0,0,3,N/A,False,False,False,['criminal'],"['RSA 632-A:3, III', 'RSA 632-A:2, I', 'RSA 570-A:7']","RSA 632-A:3, III",False,[],,1302,case_order,1.0.0,2026-07-16T02:11:36.430164,0.8
2017-0645,2017-0645,['2017-0645'],,,,Peter D. Harback & a. v. Neil Manning & a.,https://www.courts.nh.gov/sites/g/files/ehbemt471/files/documents/2021-09/20170645.pdf,,2018-09-17,,2018,"Superior Court (Kissinger, J.)",superior_court,Kissinger,civil,standard,affirmed,per_curiam,Per Curiam,5,0,0,1,5-0,True,False,False,['property'],[],,False,[],,410,case_order,1.0.0,2026-07-16T02:11:37.039540,0.8
2017-0604,20170604,['2017-0604'],,,,2017-0604vIn the Matter of Michelle Chirco and Anthony Chirco,https://www.courts.nh.gov/sites/g/files/ehbemt471/files/documents/2021-09/20170604.pdf,,2018-09-14,,2018,Circuit Court,circuit_court,"Cross, Referee, approved by Stephen",civil,standard,affirmed,per_curiam,Per Curiam,5,0,0,1,5-0,True,False,False,['constitutional'],[],,False,[],,357,case_order,1.0.0,2026-07-16T02:11:37.133480,0.8
2017-0711,2017-0711,['2017-0711'],,,,Richard Theriault v. Robert A. Theriault,https://www.courts.nh.gov/sites/g/files/ehbemt471/files/documents/2021-09/20170711.pdf,,2018-09-14,,2018,Circuit Court,circuit_court,Quigley,civil,standard,affirmed,per_curiam,Per Curiam,5,0,0,1,5-0,True,False,False,[],[],,False,[],,253,case_order,1.0.0,2026-07-16T02:11:39.020380,0.8
2017-0509,20170509,['2017-0509'],,,,"2017-0509 Christine John v. Festival Fun Parks, LLC",https://www.courts.nh.gov/sites/g/files/ehbemt471/files/documents/2021-09/20170509.pdf,,2018-09-14,,2018,"Superior Court (Delker, J.)",superior_court,Delker,civil,standard,,per_curiam,Per Curiam,0,0,0,3,N/A,False,False,False,['property'],[],,False,[],,1467,case_order,1.0.0,2026-07-16T02:11:40.499897,0.8
2018-0133,2018-0133,['2018-0133'],,,,Wayne A. Sabato & a. v. Federal National Mortgage Association,https://www.courts.nh.gov/sites/g/files/ehbemt471/files/documents/2021-09/20180133.pdf,,2018-09-14,,2018,"Superior Court (Temple, J.)",superior_court,Temple,civil,standard,dismissed,per_curiam,Per Curiam,5,0,0,1,5-0,True,False,False,"['civil_procedure', 'statutory_interpretation', 'property']","['RSA 480:3-a', 'RSA 480:1', 'RSA 529:20-a']",RSA 480:3-a,True,[],,458,case_order,1.0.0,2026-07-16T02:11:40.780180,0.8
2017-0684,2017-0684,['2017-0684'],,,,Robert Ploettner v. Christopher Della Cioppa & a.,https://www.courts.nh.gov/sites/g/files/ehbemt471/files/documents/2021-09/20170684.pdf,,2018-09-14,,2018,"Circuit Court (Tenney, J.)",circuit_court,Tenney,civil,standard,vacated,per_curiam,Per Curiam,5,0,0,1,5-0,True,False,False,"['statutory_interpretation', 'property']","['RSA 540:13', 'RSA 490-F:3', 'RSA 540:17', 'RSA 540:18']",RSA 540:13,True,[],,418,case_order,1.0.0,2026-07-16T02:11:41.258157,0.8
2018-0063,2018-0063,"['2018-0063', '2014-0720']",,,,State of New Hampshire v. Ronald Martin,https://www.courts.nh.gov/sites/g/files/ehbemt471/files/documents/2021-09/20180063.pdf,,2018-09-14,,2018,Superior Court,superior_court,Nicolosi,criminal,standard,affirmed,per_curiam,Per Curiam,5,0,0,1,5-0,True,False,False,"['criminal', 'statutory_interpretation', 'constitutional']","['RSA 651-A:6, II', 'RSA 651']","RSA 651-A:6, II",True,[],,796,case_order,1.0.0,2026-07-16T02:11:41.850100,0.8
2017-0048,2017-0048,['2017-0048'],,,,State of New Hampshire v. Andrew Brown,https://www.courts.nh.gov/sites/g/files/ehbemt471/files/documents/2021-09/20170048.pdf,,2018-08-30,,2018,"Circuit Court (Moore, J.)",circuit_court,Moore,criminal,standard,,per_curiam,Per Curiam,0,0,0,3,N/A,False,False,False,['criminal'],['RSA 263:64'],RSA 263:64,False,['de_novo'],,1531,case_order,1.0.0,2026-07-16T02:11:42.266457,0.8
2017-0696,2017-0696,['2017-0696'],,,,"Michael J. Walsh, Trustee v. Sydney H. Walsh, Trustee",https://www.courts.nh.gov/sites/g/files/ehbemt471/files/documents/2021-09/20170696.pdf,,2018-08-21,,2018,Circuit Court,circuit_court,King,civil,standard,dismissed,per_curiam,Per Curiam,0,0,0,3,N/A,False,False,False,"['civil_procedure', 'property', 'contract']","['RSA 511-A:8, III']","RSA 511-A:8, III",False,['plain_error'],,1519,case_order,1.0.0,2026-07-16T02:11:45.863930,0.8
2017-0426,2017-0426,['2017-0426'],,,,State of New Hampshire v. Reilly Leith,https://www.courts.nh.gov/sites/g/files/ehbemt471/files/documents/2021-09/20170426.pdf,,2018-08-14,,2018,"Superior Court (Wageling, J.)",superior_court,Wageling,criminal,standard,affirmed,per_curiam,Per Curiam,5,0,0,1,5-0,True,False,False,"['criminal', 'constitutional', 'evidence']","['RSA 642:8', 'RSA 642:8, III', 'RSA 625:9, III']",RSA 642:8,False,[],,1067,case_order,1.0.0,2026-07-16T02:11:46.119274,0.8
2017-0535,2017-0535,['2017-0535'],,,,"MPG Bedford, LLC v. KDG Bedford, LLC & a.",https://www.courts.nh.gov/sites/g/files/ehbemt471/files/documents/2021-09/20170535.pdf,,2018-08-13,,2018,,administrative,,civil,standard,,per_curiam,Per Curiam,0,0,0,3,N/A,False,False,False,"['civil_procedure', 'statutory_interpretation', 'contract']",[],,True,[],,1365,case_order,1.0.0,2026-07-16T02:11:46.564956,0.8
2017-0653,2017-0653,['2017-0653'],,,,In re Estate of Frederick G. McCaffery,https://www.courts.nh.gov/sites/g/files/ehbemt471/files/documents/2021-09/20170653.pdf,,2018-08-10,,2018,Circuit Court,circuit_court,Weaver,civil,standard,dismissed,per_curiam,Per Curiam,5,0,0,1,5-0,True,False,False,"['civil_procedure', 'statutory_interpretation', 'contract']",[],,True,[],,1122,case_order,1.0.0,2026-07-16T02:11:47.103804,0.8
2017-0240,2017-0240,['2017-0240'],,,,State of New Hampshire v. Jarid D. Crosby,https://www.courts.nh.gov/sites/g/files/ehbemt471/files/documents/2021-09/20170240.pdf,,2018-08-10,,2018,"Superior Court (Ruoff, J.)",superior_court,Ruoff,family/domestic,standard,affirmed,per_curiam,Per Curiam,5,0,0,1,5-0,True,False,False,"['criminal', 'domestic_violence']","['RSA 631:2-b', 'RSA 631:4']",RSA 631:2-b,False,['plain_error'],,862,case_order,1.0.0,2026-07-16T02:11:47.722065,0.8
2017-0404,2017-0404,['2017-0404'],,,,Michael Weeden v. Shawn O’Brien,https://www.courts.nh.gov/sites/g/files/ehbemt471/files/documents/2021-09/20170404.pdf,,2018-08-10,,2018,,,,criminal,standard,affirmed,per_curiam,Per Curiam,5,0,0,1,5-0,True,False,False,"['criminal', 'statutory_interpretation']","['RSA 540:13', 'RSA 540:13-d', 'RSA 540:13-d, I']",RSA 540:13,True,['de_novo'],,652,case_order,1.0.0,2026-07-16T02:11:47.838312,0.8
2018-0012,2018-0012,['2018-0012'],,,,In re Estate of Phyllis W. Holton,https://www.courts.nh.gov/sites/g/files/ehbemt471/files/documents/2021-09/20180012.pdf,,2018-08-09,,2018,Circuit Court,circuit_court,LeFrancois,civil,standard,affirmed,per_curiam,Per Curiam,4,0,0,1,4-0,True,False,False,"['property', 'contract']",['RSA 564'],RSA 564,False,[],,672,case_order,1.0.0,2026-07-16T02:11:50.078705,0.8
2017-0277,2017-0277,['2017-0277'],,,,Michael D. Roche & a. v. City of Manchester,https://www.courts.nh.gov/sites/g/files/ehbemt471/files/documents/2021-09/20170277.pdf,,2018-08-02,,2018,Superior Court,superior_court,"Ruoff, J., and Kissinger",civil,standard,,per_curiam,Per Curiam,0,0,0,3,N/A,False,False,False,"['civil_procedure', 'employment', 'contract']","['RSA 273-A:6, I', 'RSA 273-A:5', 'RSA 273-A:5, I']","RSA 273-A:6, I",False,['de_novo'],,1342,case_order,1.0.0,2026-07-16T02:11:50.363498,0.8
2017-0261,2017-0261,['2017-0261'],,,,"Summit Meadow Farm, Inc. v. Daniel D. and Karen R. Holmes, d/b/a Sunnyfield Farm",https://www.courts.nh.gov/sites/g/files/ehbemt471/files/documents/2021-09/20170261.pdf,,2018-08-02,,2018,Circuit Court,circuit_court,Stephen,civil,standard,,per_curiam,Per Curiam,0,0,0,3,N/A,False,False,False,"['insurance', 'statutory_interpretation', 'property', 'contract', 'tort']",[],,True,['de_novo'],,1282,case_order,1.0.0,2026-07-16T02:11:50.803706,0.8
2017-0635,2017-0635,['2017-0635'],,,,In the Matter of Crystal DeAngelo and Aaron DeAngelo,https://www.courts.nh.gov/sites/g/files/ehbemt471/files/documents/2021-09/20170635.pdf,,2018-07-13,,2018,Circuit Court,circuit_court,,family/domestic,standard,,per_curiam,Per Curiam,0,0,0,3,N/A,False,False,False,"['insurance', 'family_law', 'employment']","['RSA 458-C:7', 'RSA 461-A:14, VIII', 'RSA 458-C:7, II', 'RSA 461-A:14, VI']",RSA 458-C:7,False,[],,1312,case_order,1.0.0,2026-07-16T02:11:51.349039,0.8
2017-0656,2017-0656,['2017-0656'],,,,In the Matter of Tanya Braga-Pillsbury and Mickey Pillsbury,https://www.courts.nh.gov/sites/g/files/ehbemt471/files/documents/2021-09/20170656.pdf,,2018-07-13,,2018,,,,family/domestic,standard,affirmed,per_curiam,Per Curiam,5,0,0,1,5-0,True,False,False,"['family_law', 'property']","['RSA 458:16-a, I', 'RSA 458:16-a, II']","RSA 458:16-a, I",False,['de_novo'],,1342,case_order,1.0.0,2026-07-16T02:11:52.007225,0.8
2017-0672,2017-0672,"['2017-0672', '2017-0695', '2017-0694']",,,,Christopher Brault & a. v. Walter Fredette,https://www.courts.nh.gov/sites/g/files/ehbemt471/files/documents/2021-09/20170672.pdf,,2018-07-03,,2018,,,Crocker,civil,standard,affirmed,per_curiam,Per Curiam,5,0,0,1,5-0,True,False,False,"['statutory_interpretation', 'property', 'contract']","['RSA 540-A:4', 'RSA 540-A:2', 'RSA 540-A:3', 'RSA 48-A', 'RSA 147', 'RSA 155']",RSA 540-A:4,True,[],,539,case_order,1.0.0,2026-07-16T02:11:52.117400,0.8
2017-0056,2017-0056,['2017-0056'],,,,In the Matter of Dawn Reeby and David Nazzaro,https://www.courts.nh.gov/sites/g/files/ehbemt471/files/documents/2021-09/20170056.pdf,,2018-07-03,,2018,"Circuit Court (Introcaso, J.)",circuit_court,Introcaso,family/domestic,standard,affirmed,per_curiam,Per Curiam,4,0,0,1,4-0,True,False,False,"['insurance', 'family_law', 'statutory_interpretation', 'employment']","['RSA 458', 'RSA 458-C:7, I', 'RSA 458-C:2, IV', 'RSA 458-C:3']",RSA 458,True,['de_novo'],,1156,case_order,1.0.0,2026-07-16T02:11:55.231631,0.8
2017-0561,2017-0561,['2017-0561'],,,,In the Matter of Tanya Bourgeois and Michael Cook,https://www.courts.nh.gov/sites/g/files/ehbemt471/files/documents/2021-09/20170561.pdf,,2018-07-03,,2018,,,,family/domestic,standard,,per_curiam,Per Curiam,0,0,0,3,N/A,False,False,False,"['family_law', 'constitutional']","['RSA 461-A:11', 'RSA 461-A:11, I', 'RSA 461-A, I', 'RSA 461-A:11, III']",RSA 461-A:11,False,['plain_error'],,1329,case_order,1.0.0,2026-07-16T02:11:55.559786,0.8
2017-0727,2017-0727,['2017-0727'],,,,"The World of Discovery, Inc. v. Victoria Rogers & a.",https://www.courts.nh.gov/sites/g/files/ehbemt471/files/documents/2021-09/20170727.pdf,,2018-06-29,,2018,"Circuit Court (Kent, Referee, approved by Lyons, J.), in its collection action",circuit_court,"Kent, Referee, approved by Lyons",civil,standard,affirmed,per_curiam,Per Curiam,5,0,0,1,5-0,True,False,False,['DWI'],[],,False,[],,303,case_order,1.0.0,2026-07-16T02:11:55.891334,0.8
2017-0589,2017-0589,['2017-0589'],,,,"Barlo Signs International, Inc. v. GCD, Inc.",https://www.courts.nh.gov/sites/g/files/ehbemt471/files/documents/2021-09/20170589.pdf,,2018-06-29,,2018,,,,civil,standard,vacated,per_curiam,Per Curiam,4,0,0,2,4-0,True,False,False,['contract'],"['RSA 502-A:14', 'RSA 490-F:3', 'RSA 503:1']",RSA 502-A:14,False,[],,1034,case_order,1.0.0,2026-07-16T02:11:56.425995,0.8
2017-0579,2017-0579,['2017-0579'],,,,Robert Nelson v. John Biddle & a.,https://www.courts.nh.gov/sites/g/files/ehbemt471/files/documents/2021-09/20170579.pdf,,2018-06-29,,2018,"Circuit Court (Boyle, J.)",circuit_court,Boyle,civil,standard,,per_curiam,Per Curiam,0,0,0,3,N/A,False,False,False,"['medicaid', 'property', 'contract']","['RSA 540:2, II', 'RSA 540:13, III']","RSA 540:2, II",False,[],,1392,case_order,1.0.0,2026-07-16T02:11:56.602725,0.8
2018-0027,2018-0027,['2018-0027'],,,,American Express Centurion Bank v. Maricris Arnoff,https://www.courts.nh.gov/sites/g/files/ehbemt471/files/documents/2021-09/20180027.pdf,,2018-06-29,,2018,,,,civil,standard,affirmed,per_curiam,Per Curiam,5,0,0,1,5-0,True,False,False,[],"['RSA 511:2', 'RSA 511:2, XVIII']",RSA 511:2,False,[],,405,case_order,1.0.0,2026-07-16T02:11:58.525760,0.8
2017-0544,2017-0544,['2017-0544'],,,,In re Estate of Amy Marjorie Patnaude,https://www.courts.nh.gov/sites/g/files/ehbemt471/files/documents/2021-09/20170544.pdf,,2018-06-29,,2018,"Circuit Court (King, J.)",circuit_court,King,civil,standard,,per_curiam,Per Curiam,0,0,0,3,N/A,False,False,False,['statutory_interpretation'],['RSA 567'],RSA 567,True,[],,1471,case_order,1.0.0,2026-07-16T02:11:58.787845,0.8
2017-0451,2017-0451,['2017-0451'],,,,"Lloyd T. Graves, Trustee of the Lloyd T. Graves Revocable Trust – 1997, Hampton and North Hampton, New Hampshire v. Town of Hampton",https://www.courts.nh.gov/sites/g/files/ehbemt471/files/documents/2021-09/20170451.pdf,,2018-06-21,,2018,"Superior Court (Anderson, J.)",superior_court,Anderson,civil,standard,,per_curiam,Per Curiam,0,0,0,2,N/A,False,False,False,['property'],"['RSA 231:3, I', 'RSA 231:8', 'RSA 231:38']","RSA 231:3, I",False,['de_novo'],,1331,case_order,1.0.0,2026-07-16T02:11:59.783980,0.8
2017-0549,2017-0549,['2017-0549'],,,,"Paul E. Hunt, Executor of the Estate of Lorraine V. Hunt v. Rachael Hunt & a.",https://www.courts.nh.gov/sites/g/files/ehbemt471/files/documents/2021-09/20170549.pdf,,2018-06-20,,2018,Circuit Court,circuit_court,Gordon,family/domestic,standard,affirmed,per_curiam,Per Curiam,5,0,0,0,5-0,True,False,False,"['family_law', 'property']",[],,False,[],,809,case_order,1.0.0,2026-07-16T02:12:00.143508,0.8
2017-0405,2017-0405,['2017-0405'],,,,State of New Hampshire v. Kenneth Coy,https://www.courts.nh.gov/sites/g/files/ehbemt471/files/documents/2021-09/20170405.pdf,,2018-06-20,,2018,Superior Court,superior_court,Howard,family/domestic,standard,affirmed,per_curiam,Per Curiam,5,0,0,0,5-0,True,False,False,"['criminal', 'administrative_law', 'family_law', 'civil_procedure', 'contract', 'tort']","['RSA 225-A:25, IV', 'RSA 606-A:1']","RSA 225-A:25, IV",False,['de_novo'],,1268,case_order,1.0.0,2026-07-16T02:12:00.772562,0.8
2017-0551,2017-0551,"['2017-0551', '2016-0434']",,,,Scott Eaton v. Carin Hallum White & a.,https://www.courts.nh.gov/sites/g/files/ehbemt471/files/documents/2021-09/20170551.pdf,,2018-06-20,,2018,,,Greenhalgh,civil,standard,remanded,per_curiam,Per Curiam,5,0,0,0,5-0,True,False,False,"['civil_procedure', 'statutory_interpretation']","['RSA 503:1, IV']","RSA 503:1, IV",True,[],,718,case_order,1.0.0,2026-07-16T02:12:00.890453,0.8
2017-0529,2017-0529,['2017-0529'],,,,Robert L. Benjamin v. Vatche Manoukian & a.,https://www.courts.nh.gov/sites/g/files/ehbemt471/files/documents/2021-09/20170529.pdf,,2018-06-20,,2018,Superior Court,superior_court,Ignatius,civil,standard,affirmed,per_curiam,Per Curiam,4,0,0,1,4-0,True,False,False,"['statutory_interpretation', 'property']",[],,True,[],,1065,case_order,1.0.0,2026-07-16T02:12:01.094820,0.8
2018-0016,2018-0016,['2018-0016'],,,,Victoria Pizz v. Kianoush Jebeli & a.,https://www.courts.nh.gov/sites/g/files/ehbemt471/files/documents/2021-09/20180016.pdf,,2018-06-08,,2018,Superior Court,superior_court,McNamara,civil,standard,dismissed,per_curiam,Per Curiam,5,0,0,0,5-0,True,False,False,"['civil_procedure', 'property', 'employment', 'contract']",[],,False,[],,952,case_order,1.0.0,2026-07-16T02:12:03.998844,0.8
2017-0650,2017-0650,['2017-0650'],,,,Thomas A. Tardif v. Belknap County Convention,https://www.courts.nh.gov/sites/g/files/ehbemt471/files/documents/2021-09/20170650.pdf,,2018-06-08,,2018,Superior Court,superior_court,Ignatius,civil,standard,affirmed,per_curiam,Per Curiam,0,0,0,2,N/A,False,False,False,[],"['RSA 91-A:2, II', 'RSA 24:9-d']","RSA 91-A:2, II",False,[],,264,case_order,1.0.0,2026-07-16T02:12:04.189380,0.8
2017-0540,2017-0540,['2017-0540'],,,,Carol St. Pierre v. School Administrative Unit 28 Windham School District & a.,https://www.courts.nh.gov/sites/g/files/ehbemt471/files/documents/2021-09/20170540.pdf,,2018-06-08,,2018,Superior Court,superior_court,Wageling,civil,standard,affirmed,per_curiam,Per Curiam,5,0,0,0,5-0,True,False,False,"['administrative_law', 'civil_procedure', 'employment']",[],,False,[],,363,case_order,1.0.0,2026-07-16T02:12:04.545030,0.8
2017-0648,2017-0648,['2017-0648'],,,,"Funding Circle USA, Inc. v. Robert Bigos & a.",https://www.courts.nh.gov/sites/g/files/ehbemt471/files/documents/2021-09/20170648.pdf,,2018-06-07,,2018,"Superior Court (Anderson, J.)",superior_court,Anderson,civil,standard,dismissed,per_curiam,Per Curiam,5,0,0,0,5-0,True,False,False,"['civil_procedure', 'statutory_interpretation', 'contract', 'tort']","['RSA 491:8-a, III', 'RSA 508-A:3']","RSA 491:8-a, III",True,['de_novo'],,710,case_order,1.0.0,2026-07-16T02:12:04.977964,0.8
2018-0002,2018-0002,"['2018-0002', '2016-0217', '2016-0596']",,,,Sanjeev Lath v. Scott Sample,https://www.courts.nh.gov/sites/g/files/ehbemt471/files/documents/2021-09/20180002.pdf,,2018-06-07,,2018,Circuit Court,circuit_court,Lyons,civil,standard,vacated,per_curiam,Per Curiam,5,0,0,0,5-0,True,False,False,[],[],,False,[],,693,case_order,1.0.0,2026-07-16T02:12:05.502042,0.8
2017-0565,2017-0565,['2017-0565'],,,,"Brian Pellerin & a. v. The Bank of New York Mellon Trust Company, National Association",https://www.courts.nh.gov/sites/g/files/ehbemt471/files/documents/2021-09/20170565.pdf,,2018-06-07,,2018,"Superior Court (Delker, J.)",superior_court,Delker,civil,standard,affirmed,per_curiam,Per Curiam,4,0,0,1,4-0,True,False,False,"['administrative_law', 'civil_procedure', 'DWI']",['RSA 479:25'],RSA 479:25,False,[],,660,case_order,1.0.0,2026-07-16T02:12:06.142063,0.8
2017-0707,2017-0707,['2017-0707'],,,,"Wells Fargo Bank, N.A. v. Ana Shevin Cabacoff & a.",https://www.courts.nh.gov/sites/g/files/ehbemt471/files/documents/2021-09/20170707.pdf,,2018-06-07,,2018,"Superior Court (Temple, J.)",superior_court,Temple,civil,standard,affirmed,per_curiam,Per Curiam,5,0,0,0,5-0,True,False,False,"['administrative_law', 'statutory_interpretation', 'constitutional']",[],,True,['plain_error'],,413,case_order,1.0.0,2026-07-16T02:12:06.717424,0.8
2017-0488,2017-0488,['2017-0488'],,,,Brian L. Bilodeau & a. v. Elizabeth B. Cutting & a.,https://www.courts.nh.gov/sites/g/files/ehbemt471/files/documents/2021-09/20170488.pdf,,2018-06-07,,2018,"Superior Court (Ignatius, J.)",superior_court,Ignatius,civil,standard,affirmed,per_curiam,Per Curiam,5,0,0,0,5-0,True,False,False,['property'],['RSA 547-C:29'],RSA 547-C:29,False,[],,773,case_order,1.0.0,2026-07-16T02:12:06.870531,0.8
2017-0120,2017-0120,['2017-0120'],,,,John W. Weeden & a. v. City of Rochester,https://www.courts.nh.gov/sites/g/files/ehbemt471/files/documents/2021-09/20170120.pdf,,2018-06-04,,2018,,administrative,,civil,standard,,per_curiam,Per Curiam,0,0,0,2,N/A,False,False,False,"['property', 'tax']","['RSA 216-I:1, VIII']","RSA 216-I:1, VIII",False,[],,1388,case_order,1.0.0,2026-07-16T02:12:09.890439,0.8
2017-0378,2017-0378,['2017-0378'],,,,Petition of State of New Hampshire (State of New Hampshire v. Kyle J. McCoy),https://www.courts.nh.gov/sites/g/files/ehbemt471/files/documents/2021-09/20170378.pdf,,2018-05-29,,2018,"Superior Court (O’Neill, J.)",superior_court,O’Neill,civil,standard,vacated,per_curiam,Per Curiam,5,0,0,0,5-0,True,False,False,"['administrative_law', 'constitutional', 'tort', 'evidence']",[],,False,[],,722,case_order,1.0.0,2026-07-16T02:12:10.232786,0.8
2017-0331,2017-0331,['2017-0331'],,,,State of New Hampshire v. David Decker,https://www.courts.nh.gov/sites/g/files/ehbemt471/files/documents/2021-09/20170331.pdf,,2018-05-22,,2018,"Superior Court (Bornstein, J.)",superior_court,Bornstein,family/domestic,standard,,per_curiam,Per Curiam,0,0,0,2,N/A,False,False,False,"['criminal', 'family_law', 'evidence']","['RSA 159:3', 'RSA 627:3', 'RSA 627:3, I']",RSA 159:3,False,[],,1466,case_order,1.0.0,2026-07-16T02:12:10.767210,0.8
2017-0113,2017-0113,['2017-0113'],,,,James Matarozzo d/b/a M&M Cleaning v. New Hampshire Department of Employment Security,https://www.courts.nh.gov/sites/g/files/ehbemt471/files/documents/2021-09/20170113.pdf,,2018-05-21,,2018,"Superior Court (O’Neill, J.)",superior_court,O’Neill,civil,standard,affirmed,per_curiam,Per Curiam,5,0,0,0,5-0,True,False,False,"['administrative_law', 'civil_procedure', 'constitutional', 'employment', 'tax']","['RSA 282-A:67, II', 'RSA 282-A', 'RSA 282-A:68', 'RSA 282-A:67', 'RSA 282-A:95']","RSA 282-A:67, II",False,[],,357,case_order,1.0.0,2026-07-16T02:12:11.400142,0.8
2017-0053,2017-0053,"['2017-0053', '2017-0241']",,,,"Huckleberry Propane & Oil, LLC & a. v. Town of Wilmot, and 2017-0241, Janellen M. Kirk & a. v. Town of Wilmot",https://www.courts.nh.gov/sites/g/files/ehbemt471/files/documents/2021-09/20170053.pdf,,2018-05-18,,2018,"Superior Court (McNamara, J.)",superior_court,McNamara,civil,standard,affirmed,per_curiam,Per Curiam,4,0,0,0,4-0,True,False,False,"['statutory_interpretation', 'property']",[],,True,['de_novo'],,1251,case_order,1.0.0,2026-07-16T02:12:12.537834,0.8
2017-0499,2017-0499,['2017-0499'],,,,"Joseph J. Nugent, III v. New Hampshire Department of Safety",https://www.courts.nh.gov/sites/g/files/ehbemt471/files/documents/2021-09/20170499.pdf,,2018-05-15,,2018,,,,criminal,standard,affirmed,per_curiam,Per Curiam,5,0,0,0,5-0,True,False,False,"['criminal', 'statutory_interpretation', 'constitutional', 'evidence']","['RSA 21-P:13', 'RSA 263:76', 'RSA 263:77', 'RSA 263:56-a, I']",RSA 21-P:13,True,[],,977,case_order,1.0.0,2026-07-16T02:12:12.967174,0.8
2017-0301,2017-0301,['2017-0301'],,,,State of New Hampshire v. Richard A. Germain,https://www.courts.nh.gov/sites/g/files/ehbemt471/files/documents/2021-09/20170301.pdf,,2018-05-04,,2018,"Superior Court (Delker, J.)",superior_court,Delker,criminal,standard,,per_curiam,Per Curiam,0,0,0,2,N/A,False,False,False,"['criminal', 'constitutional', 'evidence']","['RSA 641:6', 'RSA 649-A:3']",RSA 641:6,False,[],,1274,case_order,1.0.0,2026-07-16T02:12:13.440439,0.8
2017-0316,2017-0316,['2017-0316'],,,,"Mohamed F. Hafez v. 100 Northeastern Boulevard, LLC & a.",https://www.courts.nh.gov/sites/g/files/ehbemt471/files/documents/2021-09/20170316.pdf,,2018-05-04,,2018,"Superior Court (Colburn, J.)",superior_court,Colburn,civil,standard,affirmed,per_curiam,Per Curiam,2,0,0,1,2-0,True,False,False,"['property', 'contract']",['RSA 490:3'],RSA 490:3,False,[],,1261,case_order,1.0.0,2026-07-16T02:12:14.102896,0.8
2017-0372,2017-0372,['2017-0372'],,,,"Darlene Ketteridge v. Martin, Lord & Osman, P.A.",https://www.courts.nh.gov/sites/g/files/ehbemt471/files/documents/2021-09/20170372.pdf,,2018-05-02,,2018,"Superior Court (MacLeod, J.)",superior_court,MacLeod,civil,standard,dismissed,per_curiam,Per Curiam,0,0,0,2,N/A,False,False,False,"['civil_procedure', 'statutory_interpretation', 'constitutional', 'contract', 'tort']",[],,True,['de_novo'],,1376,case_order,1.0.0,2026-07-16T02:12:16.990655,0.8
2017-0302,2017-0302,['2017-0302'],,,,Barbara Reed v. New Hampshire Department of Health and Human Services,https://www.courts.nh.gov/sites/g/files/ehbemt471/files/documents/2021-09/20170302.pdf,,2018-04-17,,2018,,,,civil,standard,reversed,per_curiam,Per Curiam,0,0,0,2,N/A,False,False,False,"['employment', 'contract']","['RSA 354-A:7', 'RSA 354-A:7, VII', 'RSA 354-A:7, i', 'RSA 357-A:7, VII', 'RSA 354-A:2, XIV']",RSA 354-A:7,False,['de_novo'],,1404,case_order,1.0.0,2026-07-16T02:12:17.641019,0.8
2017-0489,2017-0489,['2017-0489'],,,,Woodrow Medina v. George Knight,https://www.courts.nh.gov/sites/g/files/ehbemt471/files/documents/2021-09/20170489.pdf,,2018-04-16,,2018,Circuit Court,circuit_court,DeVries,civil,standard,affirmed,per_curiam,Per Curiam,4,0,0,0,4-0,True,False,False,['statutory_interpretation'],"['RSA 261:3, I']","RSA 261:3, I",True,[],,340,case_order,1.0.0,2026-07-16T02:12:18.284843,0.8
2017-0468,2017-0468,['2017-0468'],,,,Portsmouth Quality Flooring Corporation v. Jill Ballentyne & a.,https://www.courts.nh.gov/sites/g/files/ehbemt471/files/documents/2021-09/20170468.pdf,,2018-04-13,,2018,"Circuit Court (Coughlin, J.)",circuit_court,Coughlin,civil,standard,affirmed,per_curiam,Per Curiam,4,0,0,0,4-0,True,False,False,"['contract', 'tort']",[],,False,[],,913,case_order,1.0.0,2026-07-16T02:12:21.307802,0.8
2017-0135,2017-0135,['2017-0135'],,,,State of New Hampshire v. Shawn Murphy,https://www.courts.nh.gov/sites/g/files/ehbemt471/files/documents/2021-09/20170135.pdf,,2018-04-12,,2018,"Superior Court (Howard, J.)",superior_court,Howard,criminal,standard,affirmed,per_curiam,Per Curiam,4,0,0,0,4-0,True,False,False,"['criminal', 'property']","['RSA 635:1', 'RSA 635:1, I']",RSA 635:1,False,[],,1381,case_order,1.0.0,2026-07-16T02:12:21.512208,0.8
