short_name,full_name,website,attorney_name,review_status
U&H,"Upton & Hatfield, LLP",https://www.uptonhatfield.com,Matthew R. Serge,matched
U&H,"Upton & Hatfield, LLP",https://www.uptonhatfield.com,Nathan C. Midolo,matched
U&H,"Upton & Hatfield, LLP",https://www.uptonhatfield.com,Russell F. Hilliard,matched
USA,,,Liner Foods,skipped — government/public entity
W&B,"Winer & Bennett, LLP",https://www.winerbennett.com,John M. Edwards,matched — official/LinkedIn firm profile
WB&K,"Wilson, Bush & Keefe, P.C.",https://www.wbdklaw.com/,Charles J. Keefe,matched — user-confirmed firm identity
WL,,,Paul T. Fitzgerald,manual review — historical/deceased or out-of-state attorney; no defensible firm match
WS&P,"Wadleigh, Starr & Peters, PLLC",https://wadleighlaw.com,Donna J. Brown,matched
WS&P,"Wadleigh, Starr & Peters, PLLC",https://wadleighlaw.com,James C. Wheat,matched
WS&P,"Wadleigh, Starr & Peters, PLLC",https://wadleighlaw.com,Jeffrey D. Odland,matched
WS&P,"Wadleigh, Starr & Peters, PLLC",https://wadleighlaw.com,Michael G. Eaton,matched
WS&P,"Wadleigh, Starr & Peters, PLLC",https://wadleighlaw.com,Michael J. Tierney,matched
WS&P,"Wadleigh, Starr & Peters, PLLC",https://wadleighlaw.com,Todd Hathaway,matched
WS&S,"Smith-Weiss Shepard & Spony, P.C.",http://nhlaw-nashua.com,Brittney M. White,matched — attorney LinkedIn / historical firm
WW&F,"Welts, White & Fontaine, P.C.",https://www.lawyersnh.com,Israel F. Piedra,matched
WW&F,"Welts, White & Fontaine, P.C.",https://www.lawyersnh.com,Israel Piedra,matched
WW&F,"Welts, White & Fontaine, P.C.",https://www.lawyersnh.com,Jennifer R. Cook,matched
